"periodo","precio","mes_abrev","anio","mes_num","fecha","var_mensual","var_anual","media_movil","mes"
"Ene07",259.284248035686,"Ene",2007,1,2007-01-01,NA,NA,NA,"Ene"
"Feb07",259.370923622029,"Feb",2007,2,2007-02-01,0.0334287898318797,NA,NA,"Feb"
"Mar07",293.260871704094,"Mar",2007,3,2007-03-01,13.0662094304184,NA,NA,"Mar"
"Abr07",350.124713927389,"Abr",2007,4,2007-04-01,19.3901906834239,NA,NA,"Abr"
"May07",348.836201675989,"May",2007,5,2007-05-01,-0.36801522433153,NA,NA,"May"
"Jun07",340.840110014208,"Jun",2007,6,2007-06-01,-2.29221956418619,NA,NA,"Jun"
"Jul07",362.008981409418,"Jul",2007,7,2007-07-01,6.2107923255651,NA,NA,"Jul"
"Ago07",340.011857851297,"Ago",2007,8,2007-08-01,-6.07640271036346,NA,NA,"Ago"
"Sep07",347.966586208451,"Sep",2007,9,2007-09-01,2.33954439337023,NA,NA,"Sep"
"Oct07",363.807708245472,"Oct",2007,10,2007-10-01,4.55248367655947,NA,NA,"Oct"
"Nov07",315.583801879824,"Nov",2007,11,2007-11-01,-13.2553283706429,NA,NA,"Nov"
"Dic07",301.641628993984,"Dic",2007,12,2007-12-01,-4.41789876501624,NA,323.561469463987,"Dic"
"Ene08",320.231286041784,"Ene",2008,1,2008-01-01,6.1628287547044,23.5058776103166,328.640389297828,"Ene"
"Feb08",360.204184477781,"Feb",2008,2,2008-02-01,12.4825087923425,38.8760850474868,337.043161035808,"Feb"
"Mar08",380.576961983684,"Mar",2008,3,2008-03-01,5.65589695617756,29.7742040294055,344.31950189244,"Mar"
"Abr08",395.268642269285,"Abr",2008,4,2008-04-01,3.86037037266351,12.8936708967246,348.081495920931,"Abr"
"May08",379.335179223378,"May",2008,5,2008-05-01,-4.03104656985463,8.74306548484824,350.623077383214,"May"
"Jun08",376.118796931502,"Jun",2008,6,2008-06-01,-0.847899817375497,10.3505091920735,353.562967959655,"Jun"
"Jul08",381.336095308577,"Jul",2008,7,2008-07-01,1.38714108936842,5.33884928045494,355.173560784585,"Jul"
"Ago08",346.546734078097,"Ago",2008,8,2008-08-01,-9.12301816127017,1.92195538946704,355.718133803485,"Ago"
"Sep08",316.385835669272,"Sep",2008,9,2008-09-01,-8.70327013441945,-9.07579974367436,353.086404591887,"Sep"
"Oct08",222.028536963552,"Oct",2008,10,2008-10-01,-29.823490203384,-38.9709091007652,341.271473651727,"Oct"
"Nov08",169.153101306319,"Nov",2008,11,2008-11-01,-23.8147025514621,-46.3999418541978,329.068915270601,"Nov"
"Dic08",139.678841373931,"Dic",2008,12,2008-12-01,-17.4246051090799,-53.6937783290128,315.572016302263,"Dic"
